,col_name,feature_importance_vals
2557,cg27658601,0.002238944831324575
448,cg22209929,0.0020702400836935028
3123,cg15708153,0.002034290374451365
3708,cg00275449,0.002000615821916967
3085,cg22014112,0.0019317874179275883
2246,cg04708126,0.0018726102424961339
1828,cg00935043,0.0018655353003173489
2253,cg16918905,0.0018615569256439028
2261,cg06442199,0.0018480385388757613
1446,cg18442075,0.0018223420303447398
1028,cg21845794,0.0017750449696258925
120,cg11601523,0.0017295540566694147
1808,cg03817911,0.0017199573348932909
1018,cg27355724,0.001710134005168521
2351,cg14029489,0.0016943730523942201
1399,cg20431191,0.001649693296484625
3857,cg18107789,0.0016328655067649504
1904,cg22344703,0.0016285714413396787
1978,cg14883291,0.001628463978773527
3736,cg08445080,0.0016262545910185194
1790,cg04904331,0.00157500628182749
2135,cg02705958,0.001574402208824377
2049,cg09601912,0.0015228265363478794
3514,cg11897377,0.001490814700996609
789,cg11085762,0.0014847999132723937
1502,cg01244015,0.001477677408863891
493,cg10013003,0.0014735356924274097
737,cg26660312,0.0014706100982020244
961,cg19595505,0.0014633970601049629
2673,cg03594790,0.0014630169015321496
831,cg15585843,0.0014573328058407962
1117,cg16165797,0.001457070798391575
2733,cg23531257,0.001443122311577789
3585,cg19088627,0.0014389685095875394
369,cg18416576,0.0014357607848795584
2131,cg16483725,0.0014273135580596913
1149,cg02681173,0.0014220230052191694
2759,cg07429623,0.0014076003596434521
719,cg06277900,0.001392955607456127
3679,cg06888121,0.0013777789589009028
2674,cg00009922,0.0013772961283951323
2362,cg11218330,0.0013768665072918871
2605,cg05065603,0.0013752022601102
1713,cg24990283,0.0013693891900324756
3192,cg21444693,0.0013690908365515497
2993,cg21004104,0.0013665808322593875
3627,cg23465685,0.001359198673515744
3228,cg14830003,0.0013570549648855
3468,cg19035232,0.0013451011351349766
3115,cg21652958,0.00134040887510968
3176,cg05672930,0.0013334168796636104
2464,cg27015047,0.0013253823332396333
3409,cg11926150,0.0013249427616210596
3565,cg19075717,0.001320948208631464
1839,cg00970313,0.0013123091962226117
3028,cg21235151,0.0013111408229953417
1458,cg05671385,0.0012972717475777872
1435,cg25214823,0.0012966360472099604
3490,cg10719522,0.001293873644288961
3815,cg08652245,0.0012870526177890685
3174,cg20885179,0.0012786512473823661
243,cg07260849,0.00127745238543741
